Category,Experiment,Model,Model_Status,Feature_Count,Threshold,Evaluation_Protocol,Dataset_Split,Metric,Value,Unit,Notes
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Accuracy,0.622,ratio,Test accuracy on 590 unseen held-out samples
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Precision,0.7571,ratio,Test precision at default threshold tau=0.50
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Recall,0.3593,ratio,Test recall (sensitivity) at default threshold tau=0.50
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,F1_Score,0.4874,score,Harmonic mean of precision and recall on test set
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Specificity,0.8847,ratio,True negative rate on test set at tau=0.50
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,MCC,0.2869,coefficient,Matthews Correlation Coefficient on test set
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,ROC_AUC,0.6394,score,Area Under the Receiver Operating Characteristic Curve (threshold-independent)
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,PR_AUC,0.6719,score,Area Under the Precision-Recall Curve / Average Precision (threshold-independent)
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Log_Loss,0.7248,loss,Binary cross-entropy loss on test set probabilities
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,True_Positives,106,count,Genuine positive relationships correctly identified
