real_handle,fake_handle
03welle,CrimsonEcho551
187ACAB,ObsidianByte732
1dboladay,BlazeEcho210
3-Leg-Racer,ZeroBroker257
A1CRACK,StormByte196
Adderall,CobaltDragon113
AddiesAndXans,ViperSerpent401
Addyshack,FrostPhoenix983
AlbertHeijn,HexEcho727
AlbertHoffman1943,NightPhoenix140
Alexandrus,HexVenom420
AliceInHolland,CobaltLotus550
Amstergram,JadeBroker738
Angelina,FrostCrypt782
Arbeitsamt,NeonFlux778
Arnachy,VoidWolf623
AstroHaven,GhostDrift544
Atmel,ScarletRaven837
AusMate,CyberNexus64
AusXTC,BlazeHawk545
AussieAussieAussie,ViperHunter817
AussieExpress,ViperHunter0
AussiesFinest,IronVenom91
BECKER,CrimsonSerpent753
BHOSale,StormHawk658
BMW750LI,OnyxReaper756
BULLSEYE,StormSerpent488
Battista,NoirBroker878
BeHappy,PhantomTrader458
Bernadotte,OnyxShade485
BioCanna,BlazeBlade57
Bisto,AshenBroker767
BlueViking,RogueBroker755
BudBoss,EmberPhoenix832
BudCentral,StormHelix388
BudIndustries,LunarCore246
BudsNRoses,RogueRaven824
Bungee54,RogueTiger486
C0lonelSanders,NoirPulse825
CEuphoria,CobaltHawk929
CZmadeMan,AshenSerpent63
CaliforniaGreenCross,BlazeHelix2
CalisFinest,CyberHunter436
CanadianSupply,ScarletHelix854
CandyShop,NoirCipher337
CannaXpress000,OnyxFang66
Caslava,ScarletLotus691
ChinaChem,ZeroRonin177
ClarKent,NoirSerpent671
Coca-Droga,NoirFlux360
CocaParis,ViperWolf306
CocainsPlace,ChaosPhoenix391
CokeClassic,ChaosFox916
CrazedChemist,IronCore468
Crazy-Eights,GrimPulse554
CrystalBuddha,StormHunter65
CuervoJones,HexByte257
Czechlab,SilentSerpent148
DaHBome,OnyxSpecter246
DeemzBeemz,IronWraith993
DeepMeds,ChaosTiger459
Dekay,GhostRonin508
Deliverator,SilentRonin263
Derek4Real,OnyxBlade488
Diamonddweller,NightSerpent979
Dimercurio,CyberPulse70
Discover,LunarTiger832
DoctorFreedom,PhantomCipher446
DoctorZoidberg,StormVenom616
Doritos_Doritos,OnyxShade527
Dr-Lude,LunarTiger9
DrWhite,BlazeRonin836
Dracaufeu,HexFlux621
DreamWeaver,AzureCore823
Dreamtime,CobaltHelix658
Drugs4you,ChaosCrypt92
Dunderhonung,BlazeEcho240
DutchConnection,PhantomWraith689
DutchDeal,FrostHelix527
DutchDrugz,IronCrypt324
DutchMagic,EmberBlade284
DutchSpace,ShadowDragon899
DutchSupply,HexFlux902
DutchTouch,ShadowHelix46
ElDorado,CobaltFang178
EmeraldTriangle,FrostHelix806
Endz,AzurePhoenix927
Erkran,ToxicHunter316
EuroRX,LunarFang656
FatSam,CyberFox835
FatherTed,BlazeSpecter387
FeelGood,GhostNexus204
Fire_Fire,LunarPhoenix706
FlyingDutchmen,OnyxTiger496
FlyingKangaroo,LunarVenom787
Foreigner,OnyxVenom697
ForeverStrung,NightCipher597
FortitudeExpress,CrimsonBlade660
FractalDrift,GrimEcho673
GentsChoice,EmberFlux474
GermanOpioids,ZeroArc63
GermanShop,CyberHawk174
GoldenEagle420,JadeFang257
GoombaShop,VoidPulse119
GrandWizardsLair,OnyxCipher47
GreenJack,AzureWolf726
Hackyboy,CrimsonNexus900
HarryTuttle,EmberLotus2
HashishUK,DarkDragon237
HederalExpress,CyberCrypt576
Heisenberg-meds,PyroCrypt662
HerbanLegends,ViperPulse415
HighENDD,ObsidianDragon154
Holland-Kitchen,AshenWolf943
HollandDutch,ToxicPulse180
HollandOnline,PhantomByte218
HonestCocaine,VoidFox374
Houba,ShadowSerpent65
HumboldtFarms,NeonOrbit351
HumboldtsFinest,GrimRaven763
IdealPills,AzureFox233
ImportDirect,JadeWraith867
InfinityBeyond,CyberShade632
InsideTheWhale,CyberCipher113
IsolatedWarrior,NightBlade403
JuzJenny,JadeFang475
KINGCACTUS,ViperByte514
KeithLemon,LunarCore839
KittenHuffer,ViperBroker286
Klaymen,GrimHawk797
KushDepot,BlazeCore564
LDN-UNDERGROUND,JadeCrypt914
LegalEyez,CobaltLotus251
LeifGW,VoidTiger156
LoveIsTheKey,CobaltTiger502
Lucid_Gentleman,HexFox933
LucyUK,EmberWolf103
LucyandMolly,LunarReaper122
MEGA_PHARMA,ZeroFlux354
MachineElves,IronBroker430
MagicTed,VoidLotus493
MarcelKetman,CobaltArc198
Marleys,AzureSpecter127
MarleysMainMan,DarkRaven352
McDrugs,CrimsonPhoenix49
MeGrimlock,PyroReaper587
Meatball,ChaosDragon263
MedIndia,NoirHunter344
MedizinMann,ObsidianFang185
Meds2Buy,VoidWraith381
Mephman,EmberArc597
MerckKGaA,VoidFlux68
MiniDeal,ToxicDrift227
MissJessica,VoidTrader457
MjJo,VoidPulse362
ModernLove,StormBroker32
MollyLovesLucy,CrimsonNexus417
MoodyMayhem,LunarOrbit773
Morfar1864,GhostReaper149
Mr2011,CrimsonCore49
MrAsia,JadeWolf319
MrHolland,NeonFox772
MrKidX,LunarPulse331
MrMaserati,ShadowWraith41
MrN1ce,CrimsonSpecter628
MrPEF,IronRonin642
MrQuality,AshenOrbit501
MrSaturn,VoidSpecter688
MsStoner,ChaosFang423
Musafa,AzurePulse150
MyPharmacy,SilentCrypt86
NeoNino,ShadowSpecter927
Neroburnscities,AshenWraith635
NextDayValium,HexSerpent213
NextGeneration,NightRonin117
Nidge,NightPulse206
NoGovernment,EmberTrader869
NoStress,ToxicDrift946
NowOrNever2015,PyroLotus512
OZDrugs,ScarletPhoenix256
OrangeInc,ViperFox86
OrganicBudz,ZeroHelix92
Otaku,FrostHunter935
Overdos3d,ChaosPulse94
OxyMonster,CrimsonWraith895
OzAlpha,PyroOrbit682
PROAMFETAMINE,ScarletOrbit559
PartyDrugz4You,DarkFox0
PaulSimon,VoidVenom862
Peaceful,ViperCrypt353
PharmaPhil,ScarletCipher732
Pharmacare,RoguePulse931
PillCompany,ViperHawk34
PillfirePharmacy,GrimHunter764
PillsAndDrugs,StormPhoenix525
PlatinumStandard,ChaosReaper28
Plunderdownunder,IronShade49
PremiumProdukte,VoidCrypt593
PsiloManufacture,AshenBroker269
PureDrugs,ZeroBlade200
PureHeaven,EmberSerpent639
Purista,SilentHunter937
PurityStandard,OnyxRonin410
QP-Master,CobaltNexus372
Quade,LunarEcho166
QualityRx,GhostHawk57
QuickLick,NoirByte89
QuikConnect,HexDragon25
ReDEyE,NightBlade906
ReL0AD,NoirRaven9
RealDope,ViperEcho18
Rebel Alliance,CobaltCore853
RedNight,PyroLotus48
RefreshYourself,PyroTiger706
RichPorter,ObsidianCore972
Righteous,StormCipher359
RosesGarden,HexTiger69
SILENTSUPPLY,BlazeDragon234
SWEPOST,PhantomOrbit312
Sargon,SilentShade893
Satire,SilentPhoenix782
SheepyUK,VoidNexus179
ShopAgent,VoidByte22
ShroomStore,HexEcho250
ShroompaLoompa,IronArc447
Shulginist,HexLotus878
SleekTheElite,LunarCore420
SouthPole,BlazeHawk452
SouthsideCartel,VoidOrbit453
Spinifex,NightReaper505
StealthPharmacy,IronNexus194
Steroid-Depot,ToxicDrift26
Straightbiz,ViperByte791
Stratton,ViperDragon166
StudyDrugsUK,ObsidianHelix321
Sun-tzu,BlazeTiger22
Sunshining,CrimsonHelix593
SuperSpeedBros,StormBroker82
SuperStealthSam,EmberRaven158
Superdrugs,ChaosEcho263
SwissShop,HexCrypt75
THCXpert,OnyxEcho825
TOYOTATEAM,DarkFox819
TS420,OnyxDragon165
TheBlacklist,CyberHawk210
TheBlotterShop,GhostWraith8
TheBudReaper,VoidBlade405
TheHeissenberg,PyroRonin995
TheImportStore,ViperDragon801
TheKushLife,NoirNexus41
TheLittleGuys,RogueWraith399
ThePartyDepot,BlazeFang833
ThePinkPanther,BlazeBlade597
ThePowderGuy,FrostLotus208
TheProfessionals,NeonFox807
TheResistance,ObsidianDragon937
TheUsualSuspect,RogueByte411
TheWhiteShadow,PhantomBroker259
TheWolfOfDarknet,CyberHunter68
The_Drug_Store,HexHunter616
The_L,OnyxVenom11
ThreeKings,HexHawk6
Top_Gear_UK,FrostCrypt402
Tr4derJo3,GhostRonin190
TragicallyHip,SilentBroker833
TrapHouse,AzureWraith230
TravoltasCrew,LunarLotus837
TrevorPhilipsEnterprises,BlazeArc42
TripWithScience,ZeroShade147
TrippyKitty,ChaosReaper413
TustHak78,LunarPulse545
UK2UK,IronFox570
UKNextDay,BlazeShade26
UKWHITE,PyroCipher884
USdank,EmberCore946
